大类,实现大类,执行/处理类型,测试用例ID,功能模块,子功能,优先级,难度,实现状态,原始自动化建议,推荐运行命令,脚本文件,查看建议,实现标题,Tags,后续建议,测试步骤/描述,预期结果,前置条件/备注
一、基础登录与 WebView 容器,📂 大类,,一、基础登录与 WebView 容器,,,,,,,,,,,,,,,
一、基础登录与 WebView 容器,✅ 已实现,常规自动化,CX-WV-BASE-001,启动,App 启动 WebView,P0,Easy,已实现-常规自动化,是,pnpm run test:android:webview,src/specs/01-webview-start.spec.ts,运行 pnpm run test:android:webview；代码见 src/specs/01-webview-start.spec.ts,App 启动 WebView，可获取 URL 和页面文本,"smoke,webview,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,启动 App → 切换 WebView Context,成功进入 WebView，可获取 URL 和页面文本,每次套件启动前置
一、基础登录与 WebView 容器,✅ 已实现,常规自动化,CX-WV-BASE-002,登录,正确验证码登录,P0,Easy,已实现-常规自动化,是,pnpm run test:android:login,src/specs/02-login-basic.spec.ts,运行 pnpm run test:android:login；代码见 src/specs/02-login-basic.spec.ts,正确验证码登录成功,"smoke,login,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,输入手机号 → 获取验证码 → 输入正确验证码 → 勾选协议 → 登录,登录成功，进入 /chat 或 /profile,正常测试账号
一、基础登录与 WebView 容器,✅ 已实现,常规自动化,CX-WV-BASE-003,登录,错误验证码,P0,Easy,已实现-常规自动化,是,pnpm run test:android:login,src/specs/02-login-basic.spec.ts,运行 pnpm run test:android:login；代码见 src/specs/02-login-basic.spec.ts,错误验证码提示错误且不进入登录态,"smoke,login,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,输入手机号 → 获取验证码 → 输入错误验证码 → 登录,提示验证码错误，不进入登录态页面,使用错误验证码
一、基础登录与 WebView 容器,✅ 已实现,常规自动化,CX-WV-BASE-004,登录,无效手机号,P0,Easy,已实现-常规自动化,是,pnpm run test:android:login,src/specs/02-login-basic.spec.ts,运行 pnpm run test:android:login；代码见 src/specs/02-login-basic.spec.ts,无效手机号前端提示,"smoke,login,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,输入错误格式手机号 → 点击获取验证码,前端提示手机号格式错误,无需真实手机号
一、基础登录与 WebView 容器,✅ 已实现,常规自动化,CX-WV-BASE-005,登录,重复获取验证码,P0,Easy,已实现-常规自动化,是,pnpm run test:android:login,src/specs/02-login-basic.spec.ts,运行 pnpm run test:android:login；代码见 src/specs/02-login-basic.spec.ts,重复获取验证码时按钮倒计时或禁用,"smoke,login,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,获取验证码后 60 秒内再次点击,按钮禁用或显示倒计时，不重复发送,需规避短信频控污染
一、基础登录与 WebView 容器,✅ 已实现,常规自动化,CX-WV-BASE-006,登录,协议未勾选,P0,Easy,已实现-常规自动化,是,pnpm run test:android:login,src/specs/02-login-basic.spec.ts,运行 pnpm run test:android:login；代码见 src/specs/02-login-basic.spec.ts,协议未勾选时禁止登录,"smoke,login,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,输入手机号验证码但不勾选协议 → 登录,提示需同意用户协议与隐私政策,
一、基础登录与 WebView 容器,✅ 已实现,常规自动化,CX-WV-BASE-007,登录,用户协议弹窗,P1,Easy,已实现-常规自动化,是,pnpm run test:android:login,src/specs/02-login-basic.spec.ts,运行 pnpm run test:android:login；代码见 src/specs/02-login-basic.spec.ts,用户协议弹窗正常打开并关闭,"login,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,点击用户协议,协议弹窗正常打开，可关闭,
一、基础登录与 WebView 容器,✅ 已实现,常规自动化,CX-WV-BASE-008,登录,隐私政策弹窗,P1,Easy,已实现-常规自动化,是,pnpm run test:android:login,src/specs/02-login-basic.spec.ts,运行 pnpm run test:android:login；代码见 src/specs/02-login-basic.spec.ts,隐私政策弹窗可进入并关闭,"login,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,点击隐私政策,隐私政策弹窗正常打开，可关闭,
一、基础登录与 WebView 容器,✅ 已实现,破坏性/需专用账号,CX-WV-BASE-009,登录态,App 数据清理后登录态,P0,Med,已实现-破坏性/需专用账号,是,pnpm run test:android:auth-state,src/specs/03-auth-state.spec.ts,运行 pnpm run test:android:auth-state；代码见 src/specs/03-auth-state.spec.ts,清 App 数据后本地登录态被清理,"auth-state,p0,destructive",已接入但需要专用账号/可回滚数据。,清 App 数据 → 启动 App,本地登录态被清理，回到登录页,会清本地数据
