大类,实现大类,执行/处理类型,测试用例ID,功能模块,子功能,优先级,难度,实现状态,原始自动化建议,推荐运行命令,脚本文件,查看建议,实现标题,Tags,后续建议,测试步骤/描述,预期结果,前置条件/备注
一、基础登录与 WebView 容器,📂 大类,,一、基础登录与 WebView 容器,,,,,,,,,,,,,,,
一、基础登录与 WebView 容器,❌ 未实现,需测试钩子,CX-WV-BASE-013,登录,验证码超时（5分钟TTL）,P1,Med,未实现-需测试钩子,是/需测试钩子,,,需后端/测试环境提供 Redis 清理、验证码过期、版本变更等测试钩子后再补。,,,需后端/测试环境提供 Redis 清理、验证码过期、版本变更等测试钩子后再补。,获取验证码 → 等待5分钟或通过测试钩子删除 Redis `sms:code:<phone>` → 输入原验证码登录,提示“验证码错误或已过期”，仍停留登录页且无 token 写入,后端 CODE_TTL=300s；fast 不建议真实等待
一、基础登录与 WebView 容器,❌ 未实现,需接口辅助,CX-WV-BASE-015,登录,验证码发送限流与倒计时,P1,Med,未实现-需接口辅助,是/接口辅助,,,需增加接口辅助或测试环境开关，再补 UI 自动化验证。,,,需增加接口辅助或测试环境开关，再补 UI 自动化验证。,验证码发送成功后立刻再次触发发送（前端或接口层）,前端按钮显示60s倒计时且不可点；绕过前端时后端1秒1次限流生效,避免污染真实短信频控
一、基础登录与 WebView 容器,❌ 未实现,需预置数据,CX-WV-BASE-016,登录态,冷静期账号登录跳转,P1,Med,未实现-需预置数据,是/预置账号,,,需预置 Redis/账号状态/服务端开关，再接入自动化。,,,需预置 Redis/账号状态/服务端开关，再接入自动化。,使用已进入 pending_deletion 的账号登录,登录后自动进入 /deletion-pending，不能直接进入 /chat,登录成功后前端会请求 /account/status
二、首次个人信息完善 /profile,📂 大类,,二、首次个人信息完善 /profile,,,,,,,,,,,,,,,
二、首次个人信息完善 /profile,❌ 未实现,半自动/建议手动专项,CX-PROFILE-017,个人信息,保存接口失败提示,P2,Med,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,模拟 `/medical/profile` 返回 400/500 后点击保存,页面展示后端错误或“保存失败”，按钮恢复可点，不丢失输入内容,需 mock/断网
三、对话页基础功能 /chat,📂 大类,,三、对话页基础功能 /chat,,,,,,,,,,,,,,,
三、对话页基础功能 /chat,❌ 未实现,半自动/建议手动专项,CX-CHAT-021,对话,流式网络中断错误气泡,P1,Hard,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,发送消息后模拟 SSE reader 网络中断,保留已渲染片段或显示网络错误气泡，并提供重试入口,WebView 弱网关键场景
三、对话页基础功能 /chat,❌ 未实现,半自动/建议手动专项,CX-CHAT-022,对话,WebView流式异常同步降级,P1,Hard,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,模拟 iOS/WKWebView TypeError: Load failed/Illegal access 上报 `/client-error` → 再次发送,该 userAgent bucket 下 `/chat/transport-mode` 返回 sync，前端走 `/chat/send-sync` 并展示完整回答,Android 可作为兼容回归；后端仅 ios_webkit bucket 会标记
三、对话页基础功能 /chat,❌ 未实现,需预置数据,CX-CHAT-023,对话,同步传输模式发送,P1,Med,未实现-需预置数据,是/预置Redis,,,需预置 Redis/账号状态/服务端开关，再接入自动化。,,,需预置 Redis/账号状态/服务端开关，再接入自动化。,预置 sync fallback 标记后发送问题,不展示逐字流式，但请求完成后出现用户消息和完整 AI 回复,覆盖 WebView 不支持稳定流式时的兜底
三、对话页基础功能 /chat,❌ 未实现,半自动/建议手动专项,CX-CHAT-027,对话,上下文压缩提示,P2,Hard,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,构造超长历史触发 proactive/reactive compaction,展示压缩中状态；完成后继续回答或显示可重试错误,慢速回归
三、对话页基础功能 /chat,❌ 未实现,半自动/建议手动专项,CX-CHAT-028,对话,用户限流错误展示,P1,Med,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,1秒内连续发送两次消息或直接接口触发 `/chat` 限流,页面显示限流/错误气泡，不能产生重复异常消息,后端 rl:chat 1秒1次
四、输入框、图片、语音,📂 大类,,四、输入框、图片、语音,,,,,,,,,,,,,,,
四、输入框、图片、语音,❌ 未实现,半自动/建议手动专项,CX-INPUT-015,输入框,多图总请求体超限,P1,Med,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,选择多张接近10MB图片并发送，使 JSON body 超过后端10MB限制,请求失败时提示“请求体过大，请减少图片数量后重试”或等价错误,全局 bodyLimit=10MB，单图限制不足以覆盖总量
四、输入框、图片、语音,❌ 未实现,平台受限/建议手动,CX-INPUT-016,输入框,粘贴图片上传,P1,Med,未实现-平台受限/建议手动,是/桌面WebView,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,在输入框粘贴剪贴板图片,图片进入预览列表；可删除或发送,移动端剪贴板能力依赖容器
四、输入框、图片、语音,❌ 未实现,半自动/建议手动专项,CX-INPUT-018,语音,录音60秒自动停止,P2,Hard,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,授权后开始录音并持续60秒,录音自动停止并结束 ASR 会话；输入区可继续操作,`MAX_DURATION_S=60`
六、健康档案授权,📂 大类,,六、健康档案授权,,,,,,,,,,,,,,,
六、健康档案授权,❌ 未实现,半自动/建议手动专项,CX-CONSENT-005,健康授权,授权提交失败,P2,Med,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,模拟接口失败,显示授权提交失败，请重试,需 mock/断网
六、健康档案授权,❌ 未实现,需接口辅助,CX-CONSENT-007,健康授权,拒绝授权不写健康数据,P1,Med,未实现-需接口辅助,是/接口辅助,,,需增加接口辅助或测试环境开关，再补 UI 自动化验证。,,,需增加接口辅助或测试环境开关，再补 UI 自动化验证。,未授权账号进入健康档案弹窗 → 点击不同意 → 再查档案/文档,返回聊天页；不创建 medical_records/medical_documents,用于验证拒绝无副作用
六、健康档案授权,❌ 未实现,半自动/建议手动专项,CX-CONSENT-008,健康授权,授权版本变更重新提示,P2,Med,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,模拟本地/远端存在旧 health_profile version → 进入健康档案,重新弹出当前版本授权；同意后更新版本,需改测试数据或 mock 常量
六、健康档案授权,❌ 未实现,半自动/建议手动专项,CX-CONSENT-009,健康授权,审批卡片触发授权,P1,Hard,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,对话中触发需健康授权的档案更新审批卡 → 未授权点击同意,先弹健康档案授权；授权成功后才显示/执行审批,依赖 Agent 产生 approval
六、健康档案授权,❌ 未实现,半自动/建议手动专项,CX-CONSENT-010,健康授权,审批授权拒绝后提醒,P2,Hard,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,对话中需授权审批卡 → 授权弹窗点不同意,审批项被丢弃，后端追加 authorization-reject reminder；界面不写入档案,需会话和字段校验
七、健康档案页 /medical-records,📂 大类,,七、健康档案页 /medical-records,,,,,,,,,,,,,,,
七、健康档案页 /medical-records,❌ 未实现,需求待定/可手动验证,CX-MED-021,病历档案,未保存返回提示,P1/P0,Med,未实现-需求待定/可手动验证,视需求,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,编辑后不保存直接返回,若产品要求，应提示未保存；若当前无设计，则不纳入 P0,需产品确认
七、健康档案页 /medical-records,❌ 未实现,需专用账号/破坏性专项,CX-MED-023,清空后档案,清空后健康档案空态,P1,Med,未实现-需专用账号/破坏性专项,是，专用账号,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,专用账号已有结构化档案和病历文档 → 账号安全确认清空 → 进入健康档案,病历档案显示“尚未填写病历信息”，病历文档为空态,覆盖已有档案删除
七、健康档案页 /medical-records,❌ 未实现,需专用账号/破坏性专项,CX-MED-024,清空后档案,删除后重建结构化档案,P1,Med,未实现-需专用账号/破坏性专项,是，专用账号,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,执行清空健康档案后 → 进入健康档案 → 编辑病历档案并保存用药/治疗阶段等字段,保存成功，重新生成 medical_records；刷新后新字段仍存在,用户重点场景：已有档案删除再重建
七、健康档案页 /medical-records,❌ 未实现,需专用账号/慢速专项,CX-MED-025,清空后档案,删除后重新上传文档,P1,Hard,未实现-需专用账号/慢速专项,是，慢/专用账号,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,清空后进入病历上传 → 上传有效病历图片 → OCR 成功确认,新病历文档出现在列表，旧文档不恢复,依赖 OCR/OSS
