集合来源,测试用例ID,业务域,功能模块,子功能/闭环,优先级,难度,自动化类型,测试步骤/描述,预期结果,前置条件/备注,覆盖代码/接口,现有覆盖状态
现有用例-可自动化,CX-WV-BASE-001,一、基础登录与 WebView 容器,启动,App 启动 WebView,P0,Easy,是,启动 App → 切换 WebView Context,成功进入 WebView，可获取 URL 和页面文本,每次套件启动前置,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-002,一、基础登录与 WebView 容器,登录,正确验证码登录,P0,Easy,是,输入手机号 → 获取验证码 → 输入正确验证码 → 勾选协议 → 登录,登录成功，进入 /chat 或 /profile,正常测试账号,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-003,一、基础登录与 WebView 容器,登录,错误验证码,P0,Easy,是,输入手机号 → 获取验证码 → 输入错误验证码 → 登录,提示验证码错误，不进入登录态页面,使用错误验证码,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-004,一、基础登录与 WebView 容器,登录,无效手机号,P0,Easy,是,输入错误格式手机号 → 点击获取验证码,前端提示手机号格式错误,无需真实手机号,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-005,一、基础登录与 WebView 容器,登录,重复获取验证码,P0,Easy,是,获取验证码后 60 秒内再次点击,按钮禁用或显示倒计时，不重复发送,需规避短信频控污染,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-006,一、基础登录与 WebView 容器,登录,协议未勾选,P0,Easy,是,输入手机号验证码但不勾选协议 → 登录,提示需同意用户协议与隐私政策,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-007,一、基础登录与 WebView 容器,登录,用户协议弹窗,P1,Easy,是,点击用户协议,协议弹窗正常打开，可关闭,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-008,一、基础登录与 WebView 容器,登录,隐私政策弹窗,P1,Easy,是,点击隐私政策,隐私政策弹窗正常打开，可关闭,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-009,一、基础登录与 WebView 容器,登录态,App 数据清理后登录态,P0,Med,是,清 App 数据 → 启动 App,本地登录态被清理，回到登录页,会清本地数据,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-010,一、基础登录与 WebView 容器,登出,正常退出登录,P0,Easy,是,登录后打开侧边栏 → 点击退出登录,返回登录页，本地 token 清除,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
